AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,110414,ต. สำโรง,Samrong,1104,อ. พระประแดง,Phra Pradaeng,11,จ. สมุทรปราการ,Samut Prakarn,13.659,100.584
4,650103,ต. วัดจันทร์,Wat Chan,6501,อ. เมืองพิษณุโลก,Mueang Phitsanulok,65,จ. พิษณุโลก,Phitsanulok,16.789,100.250
4,140405,ต. หน้าไม้,Na Mai,1404,อ. บางไทร,Bang Sai,14,จ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.315,100.462
4,140106,ต. ไผ่ลิง,Phai Ling,1401,อ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,จ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.356,100.589
4,760102,ต. คลองกระแซง,Khlong Krachaeng,7601,อ. เมืองเพชรบุรี,Mueang Phetchaburi,76,จ. เพชรบุรี,Phetchaburi,13.112,99.943
4,730302,ต. บางกระเบา,Bang Krabao,7303,อ. นครชัยศรี,Nakhon Chai Si,73,จ. นครปฐม,Nakhon Pathom,13.793,100.183
4,240103,ต. บ้านใหม่,Ban Mai,2401,อ. เมืองฉะเชิงเทรา,Mueang Chachoengsao,24,จ. ฉะเชิงเทรา,Chachoengsao,13.707,101.100
4,102501,แขวง บางพลัด,,1025,เขต บางพลัด,Bang Phlat,10,กรุงเทพมหานคร,Bangkok,13.791,100.487
4,750307,ต. แควอ้อม,Khwae Om,7503,อ. อัมพวา,Amphawa,75,จ. สมุทรสงคราม,Samut Songkhram,13.436,99.937
4,150208,ต. ชะไว,Chawai,1502,อ. ไชโย,Chaiyo,15,จ. อ่างทอง,Ang Thong,14.687,100.494
4,750212,ต. บางกระบือ,Bang Krabue,7502,อ. บางคนที,Bang Khonthi,75,จ. สมุทรสงคราม,Samut Songkhram,13.463,99.968
4,100704,แขวง ลุมพินี,,1007,เขต ปทุมวัน,Pathum Wan,10,กรุงเทพมหานคร,Bangkok,13.736,100.546
4,110415,ต. สำโรงกลาง,Samrong Klang,1104,อ. พระประแดง,Phra Pradaeng,11,จ. สมุทรปราการ,Samut Prakarn,13.653,100.564
4,140109,ต. สำเภาล่ม,Samphao Lom,1401,อ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,จ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.340,100.570
4,200701,ต. ศรีราชา,Si Racha,2007,อ. ศรีราชา,Si Racha,20,จ. ชลบุรี,Chon Buri,13.162,100.923
4,810301,ต. เกาะลันตาใหญ่,Ko Lanta Yai,8103,อ. เกาะลันตา,Ko Lanta,81,จ. กระบี่,Krabi,7.417,99.204
4,570101,ต. เวียง,Wiang,5701,อ. เมืองเชียงราย,Mueang Chiang Rai,57,จ. เชียงราย,Chiang Rai,19.907,99.832
4,102202,แขวง บางด้วน,,1022,เขต ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok,13.723,100.437
4,103903,แขวง พระโขนงเหนือ,,1039,เขต วัฒนา,Watthana,10,กรุงเทพมหานคร,Bangkok,13.719,100.596
4,700701,ต. โพธาราม,Photharam,7007,อ. โพธาราม,Photharam,70,จ. ราชบุรี,Ratchaburi,13.695,99.853
